"session_timestamp","session_task","session_focus_seconds","session_wait_seconds","session_ratio","interval_index","interval_start","interval_focus_seconds","interval_wait_seconds","interval_ratio","reflection_index","motivation_score","meaningful_progress_score","standout_event"
"2026-04-09T12:15:00.000Z","Review top customer renewals and define executive involvement for risk accounts","1860","540","3.4x","1","2026-04-09T12:20:00.000Z","1860","540","3.4x","1","4","4","It became clear which renewals needed my attention and which ones only needed better internal follow-through."
"2026-04-09T14:00:00.000Z","Afternoon meeting block: partner call, recruiting sync, and customer renewal review","1260","540","2.3x","1","2026-04-09T14:04:00.000Z","1260","540","2.3x","1","3","3","The partner conversation was useful, but I felt more externally responsive than internally focused."
"2026-04-09T14:35:00.000Z","Afternoon meeting block: partner call, recruiting sync, and customer renewal review","1320","480","2.8x","1","2026-04-09T14:37:00.000Z","1320","480","2.8x","1","3","4","Recruiting stayed energizing because it was concrete and future-building."
"2026-04-09T15:10:00.000Z","Afternoon meeting block: partner call, recruiting sync, and customer renewal review","1200","600","2.0x","1","2026-04-09T15:13:00.000Z","1200","600","2.0x","1","2","3","This was productive enough, but my attention was clearly more brittle by this point."
"2026-04-09T15:45:00.000Z","Afternoon meeting block: partner call, recruiting sync, and customer renewal review","1380","420","3.3x","1","2026-04-09T15:47:00.000Z","1380","420","3.3x","1","3","4","A short renewal review worked because the team had already prepared the options."
"2026-04-09T16:20:00.000Z","Afternoon meeting block: partner call, recruiting sync, and customer renewal review","1140","660","1.7x","1","2026-04-09T16:24:00.000Z","1140","660","1.7x","1","2","2","I was still functional, but this was not the right moment for anything that required original thinking."
"2026-04-09T16:55:00.000Z","Afternoon meeting block: partner call, recruiting sync, and customer renewal review","1200","600","2.0x","1","2026-04-09T16:58:00.000Z","1200","600","2.0x","1","2","3","The last block was best used for decision cleanup rather than ambitious work."
"2026-04-10T09:00:00.000Z","Weekly review of company metrics, open loops, and next week's priorities","4200","900","4.7x","1","2026-04-10T09:05:00.000Z","2220","420","5.3x","1","4","5","Reviewing the week in one place made it easier to separate signal from noise."
"2026-04-10T09:00:00.000Z","Weekly review of company metrics, open loops, and next week's priorities","4200","900","4.7x","2","2026-04-10T10:02:00.000Z","1980","480","4.1x","","","",""
"2026-04-10T10:45:00.000Z","Write the weekly note to the company and capture decisions from the week","3300","780","4.2x","1","2026-04-10T10:50:00.000Z","1740","360","4.8x","1","4","4","Writing the company note helped me understand which decisions really mattered this week."
"2026-04-10T10:45:00.000Z","Write the weekly note to the company and capture decisions from the week","3300","780","4.2x","2","2026-04-10T11:37:00.000Z","1560","420","3.7x","","","",""
"2026-04-10T12:10:00.000Z","Clean up the next week's agenda and finalize leadership follow-ups","1800","600","3.0x","1","2026-04-10T12:15:00.000Z","1800","600","3.0x","1","3","4","I was less energized than earlier, but closing loops before the weekend felt meaningful."
"2026-04-10T14:00:00.000Z","Afternoon meeting block: weekly wrap-ups, hiring follow-ups, and quick approvals","1260","540","2.3x","1","2026-04-10T14:03:00.000Z","1260","540","2.3x","1","3","3","Friday afternoon was fine for wrap-ups, but not for starting anything conceptually heavy."
"2026-04-10T14:35:00.000Z","Afternoon meeting block: weekly wrap-ups, hiring follow-ups, and quick approvals","1320","480","2.8x","1","2026-04-10T14:37:00.000Z","1320","480","2.8x","1","3","3","The faster the meeting and the clearer the ask, the easier it was to stay engaged."
"2026-04-10T15:10:00.000Z","Afternoon meeting block: weekly wrap-ups, hiring follow-ups, and quick approvals","1200","600","2.0x","1","2026-04-10T15:13:00.000Z","1200","600","2.0x","1","2","3","This part of the day was good for approvals and cleanup, not for synthesis."
"2026-04-10T15:45:00.000Z","Afternoon meeting block: weekly wrap-ups, hiring follow-ups, and quick approvals","1260","540","2.3x","1","2026-04-10T15:48:00.000Z","1260","540","2.3x","1","2","3","I could still respond quickly, but I had very little appetite for ambiguity."
"2026-04-10T16:20:00.000Z","Afternoon meeting block: weekly wrap-ups, hiring follow-ups, and quick approvals","1140","660","1.7x","1","2026-04-10T16:24:00.000Z","1140","660","1.7x","1","2","2","By the end of the week, low-stakes operational work fit this slot much better than strategic thinking."
"2026-04-10T16:55:00.000Z","Afternoon meeting block: weekly wrap-ups, hiring follow-ups, and quick approvals","1200","600","2.0x","1","2026-04-10T16:58:00.000Z","1200","600","2.0x","1","2","3","The final block worked best as a landing zone for approvals and inbox clearing."
