"session_timestamp","session_task","session_focus_seconds","session_wait_seconds","session_ratio","interval_index","interval_start","interval_focus_seconds","interval_wait_seconds","interval_ratio"
"2026-04-08T16:00:00.000Z","Review product roadmap with chief of staff","47","36","1.3x","3","2026-04-08T17:05:00.000Z","13","15","0.9x"
"2026-04-09T07:15:00.000Z","Quarterly narrative for board deck","93","21","4.4x","1","2026-04-09T07:16:00.000Z","36","5","7.2x"
"2026-04-09T07:15:00.000Z","Quarterly narrative for board deck","93","21","4.4x","2","2026-04-09T08:04:00.000Z","32","7","4.6x"
"2026-04-09T07:15:00.000Z","Quarterly narrative for board deck","93","21","4.4x","3","2026-04-09T08:49:00.000Z","25","9","2.8x"
"2026-04-09T10:05:00.000Z","Recruiting debriefs for VP candidates","51","38","1.3x","1","2026-04-09T10:07:00.000Z","19","11","1.7x"
"2026-04-09T10:05:00.000Z","Recruiting debriefs for VP candidates","51","38","1.3x","2","2026-04-09T10:43:00.000Z","17","14","1.2x"
"2026-04-09T10:05:00.000Z","Recruiting debriefs for VP candidates","51","38","1.3x","3","2026-04-09T11:20:00.000Z","15","13","1.2x"
"2026-04-09T12:55:00.000Z","Review customer pipeline and enterprise deals","56","43","1.3x","1","2026-04-09T12:56:00.000Z","22","12","1.8x"
"2026-04-09T12:55:00.000Z","Review customer pipeline and enterprise deals","56","43","1.3x","2","2026-04-09T13:35:00.000Z","18","14","1.3x"
"2026-04-09T12:55:00.000Z","Review customer pipeline and enterprise deals","56","43","1.3x","3","2026-04-09T14:12:00.000Z","16","17","0.9x"
"2026-04-09T15:35:00.000Z","Admin catch-up and expense approvals","28","58","0.5x","1","2026-04-09T15:36:00.000Z","11","18","0.6x"
"2026-04-09T15:35:00.000Z","Admin catch-up and expense approvals","28","58","0.5x","2","2026-04-09T16:08:00.000Z","9","21","0.4x"
"2026-04-09T15:35:00.000Z","Admin catch-up and expense approvals","28","58","0.5x","3","2026-04-09T16:41:00.000Z","8","19","0.4x"
"2026-04-10T07:20:00.000Z","Weekly reflection and next week planning","78","23","3.4x","1","2026-04-10T07:22:00.000Z","30","6","5.0x"
"2026-04-10T07:20:00.000Z","Weekly reflection and next week planning","78","23","3.4x","2","2026-04-10T08:03:00.000Z","27","7","3.9x"
"2026-04-10T07:20:00.000Z","Weekly reflection and next week planning","78","23","3.4x","3","2026-04-10T08:42:00.000Z","21","10","2.1x"
"2026-04-10T09:55:00.000Z","Company all-hands review and follow-ups","46","36","1.3x","1","2026-04-10T09:57:00.000Z","18","10","1.8x"
"2026-04-10T09:55:00.000Z","Company all-hands review and follow-ups","46","36","1.3x","2","2026-04-10T10:31:00.000Z","15","12","1.3x"
"2026-04-10T09:55:00.000Z","Company all-hands review and follow-ups","46","36","1.3x","3","2026-04-10T11:03:00.000Z","13","14","0.9x"
"2026-04-10T12:30:00.000Z","Review metrics, approve launches, and delegate next actions","45","69","0.7x","1","2026-04-10T12:32:00.000Z","14","16","0.9x"
"2026-04-10T12:30:00.000Z","Review metrics, approve launches, and delegate next actions","45","69","0.7x","2","2026-04-10T13:05:00.000Z","12","18","0.7x"
"2026-04-10T12:30:00.000Z","Review metrics, approve launches, and delegate next actions","45","69","0.7x","3","2026-04-10T13:39:00.000Z","10","20","0.5x"
"2026-04-10T12:30:00.000Z","Review metrics, approve launches, and delegate next actions","45","69","0.7x","4","2026-04-10T14:12:00.000Z","9","15","0.6x"
